It,Accuracy,Prec-TRUE,Rec-TRUE,F-Scr-TRUE,Prec-FALSE,Rec-FALSE,F-Scr-FALSE
1,0.8321,0.7764,0.9328,0.8474,0.9159,0.7313,0.81
2,0.8384,0.7707,0.9634,0.8563,0.9512,0.7134,0.81
3,0.838,0.7824,0.9366,0.8526,0.9211,0.7394,0.82
4,0.8435,0.7988,0.9184,0.8544,0.904,0.7687,0.83
5,0.8705,0.8199,0.9496,0.88,0.9402,0.7914,0.85
6,0.8483,0.7953,0.9379,0.8607,0.9244,0.7586,0.83
7,0.8591,0.8282,0.906,0.8654,0.8963,0.8121,0.85
8,0.8775,0.8476,0.9205,0.8825,0.913,0.8344,0.87
9,0.8323,0.7744,0.9379,0.8483,0.9213,0.7267,0.81
10,0.8616,0.8042,0.956,0.8736,0.9457,0.7673,0.84
